USER_ID,Customer_Name,City,State,Account_Type,Device_ID
1729,Shaurya Malhotra,Bangalore,Karnataka,Savings,IKUZU9SH7N1B
1766,Aditya Das,Ahmedabad,Gujarat,Savings,2M7K4986K33U
1207,Krishna Sharma,Pune,Maharashtra,Savings,JI6YB9PDGKRJ
1226,Aditya Joshi,Hyderabad,Telangana,Savings,I2BRSV43056M
1992,Aadhya Iyer,Hyderabad,Telangana,Savings,CD1SD44WL8MD
1657,Reyansh Malhotra,Delhi,Delhi,Savings,K33S5R25ZFC1
1238,Riya Sharma,Kolkata,West Bengal,Savings,WXOATMZH93XM
1222,Pari Das,Chennai,Tamil Nadu,Savings,SJH9PO2UBATP
1506,Riya Sharma,Bangalore,Karnataka,Savings,IUQGX8UWTK7S
1689,Ishaan Patel,Pune,Maharashtra,Savings,57WUQQ4TNDNQ
1374,Arjun Gupta,Pune,Maharashtra,Savings,DI47KAH8OXEN
1781,Vihaan Joshi,Bangalore,Karnataka,Savings,QZGH2YTESNE8
1821,Shaurya Das,Ahmedabad,Gujarat,Savings,QPU45B3AX743
1929,Shaurya Nair,Pune,Maharashtra,Savings,8SJBCCD4EOXI
1972,Sai Iyer,Surat,Gujarat,Savings,KEG7V48TPG7U
1790,Kavya Patel,Surat,Gujarat,Savings,NCS5834BK6DH
1199,Shaurya Gupta,Pune,Maharashtra,Savings,GIOLF63YA2KY
2019,Diya Malhotra,Delhi,Delhi,Savings,90EN4IEDBTFD
2060,Sai Verma,Bangalore,Karnataka,Savings,JJG4LB45ALIM
2309,Kiara Das,Surat,Gujarat,Savings,SG61VH0AMXA6
2470,Diya Das,Jaipur,Rajasthan,Savings,4TD3HTY61JZE
2585,Sara Das,Ahmedabad,Gujarat,Savings,KCXHHDAS1CO1
2729,Anika Patel,Jaipur,Rajasthan,Savings,VPASGPAGI3XA
2780,Kiara Sharma,Ahmedabad,Gujarat,Savings,D8VI6FKRXXWF
2818,Ananya Malhotra,Jaipur,Rajasthan,Savings,MYAXKEAKVOD3
2924,Shaurya Verma,Mumbai,Maharashtra,Savings,TN4LL1WOR2PM
2945,Pari Gupta,Pune,Maharashtra,Savings,AUZFJALJZE4K
3000,Aaryan Iyer,Pune,Maharashtra,Savings,WR07I3QFTQ97
3035,Ananya Joshi,Hyderabad,Telangana,Savings,70UJGVCVUE11
3096,Reyansh Verma,Mumbai,Maharashtra,Savings,GSRD1I3GGL0X
3125,Krishna Sharma,Ahmedabad,Gujarat,Savings,0OEXIR4IIQKD
3201,Saanvi Verma,Delhi,Delhi,Savings,QGDST7INUDFZ
3315,Shaurya Singh,Kolkata,West Bengal,Savings,YJO7C5QVO1PB
3352,Riya Joshi,Chennai,Tamil Nadu,Savings,DJTCK00ZXQRW
3437,Ananya Das,Kolkata,West Bengal,Savings,4PVM4X0VVW8X
3451,Sara Gupta,Pune,Maharashtra,Savings,SKHY6H9WAVIA
3470,Kavya Joshi,Hyderabad,Telangana,Savings,W5OR27NW3MO2
3487,Riya Sharma,Kolkata,West Bengal,Savings,6COJUQ9KP4U8
3501,Aarav Sharma,Pune,Maharashtra,Savings,5JDY3F61PY75
3534,Aditya Malhotra,Ahmedabad,Gujarat,Savings,WKAO3FQ7ANZW
3610,Vihaan Joshi,Ahmedabad,Gujarat,Savings,LV63N79II670
3623,Kavya Nair,Mumbai,Maharashtra,Savings,UYZNI6BJU68O
3654,Ananya Malhotra,Ahmedabad,Gujarat,Savings,NT6O4RSLNMMW
3719,Ananya Singh,Pune,Maharashtra,Savings,K8F3XUVAG2F1
3750,Aditya Gupta,Surat,Gujarat,Savings,L7FGFP2GW2KU
3890,Aadhya Verma,Pune,Maharashtra,Savings,VKQKRHZO7E88
3893,Pari Verma,Chennai,Tamil Nadu,Savings,K2RAS846L2A4
3899,Sara Gupta,Pune,Maharashtra,Savings,KSCU6MXSCUHW
3944,Riya Singh,Pune,Maharashtra,Savings,7GR7YPL1OUC8
4017,Kiara Das,Hyderabad,Telangana,Savings,S2IQNACZC8MB
4046,Shaurya Malhotra,Chennai,Tamil Nadu,Savings,XLDX77SKJ63H
4188,Aditya Nair,Delhi,Delhi,Savings,Z017Q374M3R3
4209,Shaurya Malhotra,Surat,Gujarat,Savings,FNH1CBHF19KE
4229,Kavya Iyer,Jaipur,Rajasthan,Savings,WOF95MBAEB4K
4334,Ananya Iyer,Jaipur,Rajasthan,Savings,X7PNV7HJYRGJ
4340,Reyansh Malhotra,Chennai,Tamil Nadu,Savings,QSYK1YQ44NGO
4469,Kiara Malhotra,Hyderabad,Telangana,Savings,RDHQXAHS5RCG
4479,Krishna Verma,Jaipur,Rajasthan,Savings,4AJX32API7OW
4499,Reyansh Verma,Jaipur,Rajasthan,Savings,YNFS7B061DPK
4552,Diya Gupta,Kolkata,West Bengal,Savings,DTJRUAFD4KUC
4581,Riya Sharma,Mumbai,Maharashtra,Savings,ZDJBH79IHNB2
4612,Kiara Malhotra,Surat,Gujarat,Savings,IZ9AD5Y2PV7W
4636,Sai Das,Ahmedabad,Gujarat,Savings,1H1ADRGHSBME
4760,Arjun Joshi,Mumbai,Maharashtra,Savings,UAO2UCCVNLDC
4814,Anika Das,Kolkata,West Bengal,Savings,7S4H3B2Q3LDP
